# id	left	top	right	bottom	texture_id
[SPRITES]
#ground
80001	0	384	383	447	30
80015	2544	384	2559	447	30
80016	2609	384	2624	447	30

#background
80002	0	458	927	727	26
80003	0	459	927	728	23
80004	0	193	927	296	22
80005	0	459	751	728	25
80006	0	0	920	790	24

#section1
80007	1088	320	1295	447	30
80017	1344	320	1646	351	30
80018	1712	320	1759	351	30
80019	1760	112	1791	383	30
80020	1632	192	1759	223	30
80021	1376	192	1567	223	30
80022	1344	48	1375	223	30

#section2
80008	1904	319	2111	350	30
80009	1968	352	1998	383	30
80010	2032	272	2079	319	30
80011	2128	240	2223	271	30
80012	2272	240	2303	271	30
80013	2256	368	2399	447	30
80014	2496	144	2527	351	30

#big box
80023	42	19	85	62	27

#map0
80024	0	305	719	448	38

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
800001	80001	10000

800002	80002	10000
800003	80003	10000
800004	80004	10000
800005	80005	10000
800006	80006	10000

800007	80007	10000
800008	80008	10000
800009	80009	10000
800010	80010	10000
800011	80011	10000
800012	80012	10000
800013	80013	10000
800014	80014	10000
800015	80015	10000
800016	80016	10000
800017	80017	10000
800018	80018	10000
800019	80019	10000
800020	80020	10000
800020	80020	10000
800021	80021	10000
800022	80022	10000
800023	80023	10000
800024	80024	10000
